name,total_atoms,total_bonds,total_angles,total_dihedrals,total_atom_types,total_bond_types,total_angle_types,total_dihedral_types,C1,C2,C3,C4,O1,O2,O3,N1,H1,H2,H3,H4,H5,H6,H7,H8,F,Cl,S,Si,C3_N1,S_C2,C1_N1,C2_H4,Si_C1,S_C1,S_O1,O3_H5,C1_C1,O2_C1,C1_C3,C1_H8,C2_N1,N1_H6,C2_C2,C1_O3,Si_H1,C2_H3,C1_H2,C1_Cl,C1_H1,C2_O2,C1_C2,C2_O3,C1_F,Si_O3,C2_O1,Cl_C1_F,F_C1_F,C2_S_C2,C2_O2_C2,H3_C2_C2,C1_C1_C3,C1_C2_C1,H2_C1_H2,Si_C1_H1,O3_Si_H1,H6_N1_C1,H1_Si_C1,C1_N1_C2,O1_S_O1,N1_C2_O1,O3_Si_C1,C2_C1_H2,S_C2_C2,C1_C2_O1,H2_C1_Cl,C2_C1_H1,C1_C1_H8,O1_C2_O3,N1_C1_H2,Si_C1_C1,Cl_C1_H8,H1_C1_H1,C1_Si_C1,Si_O3_H5,O2_C1_H2,O3_C1_H2,H8_C1_F,H1_C1_C3,F_C1_C1,C1_C3_N1,H5_O3_C1,C1_C1_S,C2_C2_O1,C2_C2_C2,O1_C2_H4,H6_N1_H6,C2_C1_O3,C1_C2_N1,C2_C2_O3,H5_O3_C2,C1_S_C1,C1_C1_N1,O2_C2_C2,O1_S_C2,C1_C1_C1,C1_C1_H2,C1_C1_O2,H6_N1_C2,C1_C1_Cl,F_C1_H2,C2_C2_H4,C1_C2_O3,C2_O2_C1,O2_C2_C1,C1_C1_O3,S_C1_H2,C1_C2_H3,C1_C2_H4,N1_C1_C2,O1_C2_O2,C1_C2_C2,C1_C1_H1,C1_C1_C2,C2_C1_C2_H3,H3_C2_C2_O3,H6_N1_C2_O1,C2_H6_N1_H6,O3_C1_C1_H1,H2_C1_C1_O3,C2_C1_N1_H6,H4_C2_C1_H1,C1_O2_C2_C1,H6_N1_C1_H2,H1_C1_C1_Cl,H4_C2_C2_O1,H1_C1_C1_C3,C2_O2_C1_C1,C2_C2_O3_H5,H1_C1_C2_C1,Si_C1_C1_H1,H2_C1_C1_F,C2_O2_C2_C2,F_C1_C1_F,H2_C1_C1_H8,H5_O3_C1_C1,H2_C1_C1_C1,C1_C1_C1_C1,H3_C2_C2_C1,H2_C1_C1_H2,H2_C1_C2_O3,C1_C2_C2_C1,H1_C1_C2_O1,H2_C1_C2_O1,O1_S_C2_C2,O1_C2_O2_C1,C1_C1_N1_C2,H1_C1_C1_F,H1_C1_C1_C1,C1_N1_C2_O1,H1_C1_C1_C2,H2_C1_C1_H1,H1_Si_C1_H1,H4_C2_C1_N1,H1_C1_C3_N1,O1_C2_H4_C2,C2_O1_C2_O2,H3_C2_C2_C2,H2_C1_C2_H4,H1_C1_C2_O3,O1_C2_O3_H5,H1_C1_C2_N1,H1_C1_C2_O2,C1_O1_C2_O2,F_C1_C1_H8,H3_C2_C2_H3,H2_C1_S_C1,H1_C1_C1_O2,H2_C1_O3_H5,O2_C1_C1_O3,H3_C2_C1_H1,N1_C2_C1_C1,H2_C1_O2_C2,C1_H4_C2_O1,C1_O1_C2_O3,H1_C1_C2_C2,H1_C1_C1_H1,H1_C1_C1_N1,Mol_Wt,Tg,Cp_KJ/Kg-K,Cp_J/mol-K
poly_iso_butyl_acrylate,23,22,40,54,6,7,13,10,6,1,0,0,1,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,12,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,2,0,0,0,12,0,128.17,249,1.8108,232.09
poly_n_butyl_acrylate,23,22,40,56,6,7,13,11,6,1,0,0,1,1,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,12,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,2,0,0,0,16,0,128.17,218,1.8201,233.28
poly_ethyl_acrylate,17,16,28,37,6,7,12,9,4,1,0,0,1,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,8,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,6,0,0,0,0,2,0,0,0,6,0,100.12,249,1.7867,178.88
poly_methyl_acrylate,14,13,22,29,6,7,11,9,3,1,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,86.09,279,1.765,151.99
poly_1_4_butadiene,12,11,18,25,4,4,5,5,2,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,12,0,0,54.09,171,1.96,106
Poly_1_butene,14,13,24,29,2,2,3,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,56.11,249,2.086,117.02
Polyethylene,8,7,12,9,2,2,2,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14.03,252,1.555,21.81
Polyisobutene,14,13,24,27,2,2,3,2,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,56.11,200,1.962,110.09
Poly_2_methylbutadiene,15,14,24,35,4,4,6,5,3,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,68.12,200,1.911,130.2
Poly_4_methyl_1pentene,20,19,36,51,2,2,3,3,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,84.16,303,1.728,145.4
Poly_1_pentene,17,16,30,40,2,2,3,3,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,70.14,233,2.058,144.34
Polypropylene,11,10,18,18,2,2,3,2,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,42.08,260,1.622,68.24
Poly_n-butyl_methacrylate,26,25,46,64,6,7,13,11,7,1,0,0,1,1,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,14,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0,2,0,0,0,16,0,142.2,293,1.8524,263.41
Poly_i_butyl_methacrylate,26,25,46,71,5,6,10,9,7,1,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,18,0,0,0,0,0,0,0,0,6,0,142.2,326,1.571,223.4
Poly_ethyl_methacrylate,20,19,34,45,6,7,13,10,5,1,0,0,1,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,10,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,6,0,0,0,0,2,0,0,0,6,0,114.15,338,1.4666,167.42
Poly_hexyl_methacrylate,32,31,58,86,6,7,13,11,9,1,0,0,1,1,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,0,18,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,0,0,21,0,0,13,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0,2,0,0,0,24,0,170.25,268,1.901,324.83
Polymethacrylic_acid,14,13,22,29,6,6,9,7,3,1,0,0,1,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,86.09,,1.307,112.5
Polymethacrylamide,15,14,24,35,6,6,10,9,3,1,0,0,1,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,85.11,,1.395,118.7
Polymethyl_methacrylate,17,16,28,32,6,7,11,8,4,1,0,0,1,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,7,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,100.12,378,1.3755,137.72
